"This file is an extract of the World Bank STRI dataset. The full dataset can be downloaded from the Services Trade Policy Database accessible through http://i-tip.wto.org/services/, using the download dropdown menu of the STRI on the selection page."
"When using information from this dataset, please cite: Borchert, Gootiiz, Magdeleine, Marchetti, Mattoo, Rubio and Shannon (2019) - ''Applied Services Trade Policy: A Guide to the Services Trade Policy Database and Services Trade Restrictions Index'', WTO Staff Working Paper (ERSD-2019-14)."

,,"Albania","Argentina","Australia","Austria","Bangladesh","Belgium","Bosnia and Herzegovina","Brazil","Canada","Chile","China","Colombia","Costa Rica","Czech Republic","Denmark","Dominican Republic","Ecuador","Egypt","Estonia","Finland","France","Germany","Greece","Hong Kong, China","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Japan","Jordan","Kazakhstan","Kenya","Korea, Republic of","Latvia","Lithuania","Luxembourg","Malaysia","Mexico","Moldova, Republic of","Montenegro","Myanmar","Netherlands","New Zealand","Niger","Nigeria","North Macedonia","Norway","Oman","Pakistan","Panama","Peru","Philippines","Poland","Portugal","Russian Federation","Serbia","Singapore","Slovak Republic","Slovenia","South Africa","Spain","Sri Lanka","Sweden","Switzerland","Chinese Taipei","Tanzania","Thailand","Tunisia","Turkey","Ukraine","United Kingdom","United States of America","Uruguay","Viet Nam"
,Mode,,2016,2016,2016,2016,2016,,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,,2016,2016,2016,2016,2016,2016,2016,2016,,,2016,2016,2016,,2016,,2016,2016,2016,2016,2016,2016,2016,2016,2016,,2016,2016,2016,2016,2016,2016,2016,2016,2016,,2016,2016,2016,2016,2016,2016,2016,2016
Economy,"ALL       ","N/A","45.3","37.0","41.7","42.9","44.2","N/A","42.9","35.9","34.1","59.4","36.5","38.6","33.1","42.0","34.6","21.1","51.8","39.1","44.2","39.4","37.1","42.5","34.8","42.3","46.0","65.0","64.0","38.6","45.9","35.9","27.4","N/A","45.5","40.3","37.8","35.7","37.9","49.6","54.2","44.0","N/A","N/A","59.3","37.2","41.1","N/A","41.0","N/A","41.7","51.7","39.2","56.6","33.3","53.5","45.1","38.5","42.3","N/A","38.1","36.8","36.2","34.2","34.1","46.4","40.6","40.1","36.2","N/A","52.3","49.9","46.4","38.4","41.3","33.6","39.5","48.5"
"Economy","ALL       ","N/A","45.3","37.0","41.7","42.9","44.2","N/A","42.9","35.9","34.1","59.4","36.5","38.6","33.1","42.0","34.6","21.1","51.8","39.1","44.2","39.4","37.1","42.5","34.8","42.3","46.0","65.0","64.0","38.6","45.9","35.9","27.4","N/A","45.5","40.3","37.8","35.7","37.9","49.6","54.2","44.0","N/A","N/A","59.3","37.2","41.1","N/A","41.0","N/A","41.7","51.7","39.2","56.6","33.3","53.5","45.1","38.5","42.3","N/A","38.1","36.8","36.2","34.2","34.1","46.4","40.6","40.1","36.2","N/A","52.3","49.9","46.4","38.4","41.3","33.6","39.5","48.5"
"Professional Services","ALL       ","N/A","50.9","41.2","52.1","53.9","50.7","N/A","56.8","32.6","36.6","71.7","37.4","46.6","36.8","48.5","36.7","32.3","80.0","43.4","43.7","52.0","42.9","45.9","62.4","50.0","51.7","79.5","76.4","54.2","46.7","40.2","42.9","N/A","52.1","70.6","72.2","27.1","44.4","70.0","53.7","41.7","N/A","N/A","74.0","41.8","48.0","N/A","60.1","N/A","48.9","50.5","43.6","89.5","46.6","88.2","70.9","50.7","41.6","N/A","45.0","41.3","48.7","48.1","43.7","70.5","47.8","47.2","39.0","N/A","72.3","82.7","83.0","36.9","43.7","31.9","46.9","42.9"
"Legal Services: Host Country Advisory Services","3         ","N/A","36.1","32.1","47.9","88.3","41.3","N/A","56.2","37.0","32.1","100.0","32.1","25.0","45.5","40.8","25.0","12.5","100.0","37.4","36.6","38.0","40.4","46.7","91.0","41.7","47.5","100.0","100.0","91.0","45.8","36.1","89.7","N/A","40.1","100.0","37.6","26.0","41.3","100.0","60.4","37.4","N/A","N/A","88.3","37.0","43.8","N/A","90.4","N/A","37.4","36.9","26.9","100.0","40.5","100.0","100.0","38.0","26.0","N/A","53.9","45.5","44.2","91.7","37.0","100.0","40.1","37.4","45.5","N/A","27.7","100.0","100.0","39.7","36.6","37.0","36.6","41.6"
"Legal Services: Host Country Advisory Services","4         ","N/A","55.3","52.2","76.2","100.0","55.6","N/A","52.0","31.5","55.6","76.3","26.0","55.3","26.0","57.6","25.0","53.8","100.0","57.6","52.2","76.3","52.0","75.9","55.8","76.3","57.6","76.2","76.3","52.2","55.6","26.2","50.0","N/A","57.4","75.4","55.3","26.9","76.0","100.0","57.6","52.2","N/A","N/A","75.4","52.0","52.0","N/A","55.6","N/A","57.6","75.1","50.5","100.0","52.5","100.0","100.0","55.6","57.6","N/A","52.0","52.0","75.9","50.3","76.0","100.0","52.2","60.4","0.0","N/A","100.0","100.0","76.2","25.0","52.2","52.0","54.1","52.0"
"Legal Services: Host Country Advisory Services","ALL       ","N/A","45.7","42.2","62.0","94.1","48.4","N/A","54.1","34.2","43.8","88.1","29.1","40.2","35.8","49.2","25.0","33.2","100.0","47.5","44.4","57.1","46.2","61.3","73.4","59.0","52.6","88.1","88.1","71.6","50.7","31.1","69.8","N/A","48.8","87.7","46.5","26.5","58.7","100.0","59.0","44.8","N/A","N/A","81.9","44.5","47.9","N/A","73.0","N/A","47.5","56.0","38.7","100.0","46.5","100.0","100.0","46.8","41.8","N/A","53.0","48.8","60.0","71.0","56.5","100.0","46.2","48.9","22.7","N/A","63.8","100.0","88.1","32.3","44.4","44.5","45.3","46.8"
"Legal Services: Host Country Representation Services","3         ","N/A","36.1","32.1","47.9","88.3","41.3","N/A","56.2","37.0","32.1","100.0","32.1","25.0","37.6","40.8","25.0","26.0","100.0","37.4","36.6","38.0","40.4","46.7","90.3","48.2","47.5","100.0","100.0","91.0","45.8","36.1","89.7","N/A","40.1","100.0","37.6","26.0","41.3","100.0","100.0","33.3","N/A","N/A","100.0","37.0","43.8","N/A","91.0","N/A","37.4","36.9","26.9","100.0","37.0","100.0","100.0","38.0","26.0","N/A","48.1","37.6","44.2","91.7","37.0","100.0","40.1","37.4","45.5","N/A","27.7","100.0","100.0","39.7","36.6","37.0","40.1","41.6"
"Legal Services: Host Country Representation Services","4         ","N/A","55.3","52.2","76.2","100.0","55.6","N/A","52.0","31.5","55.6","76.3","26.0","55.3","26.0","57.6","25.0","53.8","100.0","57.6","52.2","55.6","52.0","75.9","52.0","76.3","57.6","76.2","76.3","52.2","55.6","26.2","25.0","N/A","76.3","75.4","55.3","26.9","76.0","100.0","64.4","52.2","N/A","N/A","100.0","52.0","52.0","N/A","55.6","N/A","57.6","28.7","50.5","100.0","50.5","100.0","100.0","55.6","57.6","N/A","52.0","52.0","75.9","50.3","76.0","100.0","52.2","60.4","0.0","N/A","100.0","100.0","76.2","25.0","52.2","52.0","54.1","100.0"
"Legal Services: Host Country Representation Services","ALL       ","N/A","45.7","42.2","62.0","94.1","48.4","N/A","54.1","34.2","43.8","88.1","29.1","40.2","31.8","49.2","25.0","39.9","100.0","47.5","44.4","46.8","46.2","61.3","71.2","62.2","52.6","88.1","88.1","71.6","50.7","31.1","57.3","N/A","58.2","87.7","46.5","26.5","58.7","100.0","82.2","42.8","N/A","N/A","100.0","44.5","47.9","N/A","73.3","N/A","47.5","32.8","38.7","100.0","43.8","100.0","100.0","46.8","41.8","N/A","50.1","44.8","60.0","71.0","56.5","100.0","46.2","48.9","22.7","N/A","63.8","100.0","88.1","32.3","44.4","44.5","47.1","70.8"
